DEMAND,SOLAR,WIND,COAL,COAL_CRYO,COAL_AMINE,NUCLEAR
25273,0,37365.33,57747,57747,57747,115494
24476,0,38160.01,57747,57747,57747,115494
24029,0,37976.67,57747,57747,57747,115494
24084,0,36706.59,57747,57747,57747,115494
24959,0,35461.71,57747,57747,57747,115494
27102,1563.44,35480.81,57747,57747,57747,115494
29948,5853.15,36029.49,57747,57747,57747,115494
31399,8046.77,36937.34,57747,57747,57747,115494
31512,9275.03,38166.83,57747,57747,57747,115494
31323,9597.82,37845.8,57747,57747,57747,115494
30950,9574.4,36694.2,57747,57747,57747,115494
30603,9077.66,37307.23,57747,57747,57747,115494
30527,8155.84,38304.2,57747,57747,57747,115494
30572,5880.14,36708.91,57747,57747,57747,115494
30703,1859.35,34406.53,57747,57747,57747,115494
30998,9.74,32148.67,57747,57747,57747,115494
32011,0,30821.9,57747,57747,57747,115494
34129,0,28622.37,57747,57747,57747,115494
34525,0,26481.48,57747,57747,57747,115494
33750,0,23708.21,57747,57747,57747,115494
32509,0,20504.22,57747,57747,57747,115494
30681,0,18549.76,57747,57747,57747,115494
28348,0,17679.09,57747,57747,57747,115494
26391,0,16679.15,57747,57747,57747,115494
25192,0,14873.06,57747,57747,57747,115494
24270,0,13911.52,57747,57747,57747,115494
23894,0,13230.35,57747,57747,57747,115494
23947,0,13531.33,57747,57747,57747,115494
24771,0,13318.15,57747,57747,57747,115494
27094,1493.86,13397.65,57747,57747,57747,115494
30109,5562.02,12862.61,57747,57747,57747,115494
31298,7379.43,11939.28,57747,57747,57747,115494
31749,8711.17,12135.66,57747,57747,57747,115494
31909,9570.2,13260.87,57747,57747,57747,115494
31926,9807.49,14905.25,57747,57747,57747,115494
31957,9670.16,16432.59,57747,57747,57747,115494
31398,8744.53,17730.74,57747,57747,57747,115494
31318,6540.67,19353.93,57747,57747,57747,115494
31164,2362.55,20376.63,57747,57747,57747,115494
31144,13.69,21024.44,57747,57747,57747,115494
32028,0,20873.81,57747,57747,57747,115494
34079,0,21352.01,57747,57747,57747,115494
34363,0,21704.82,57747,57747,57747,115494
33606,0,21478.71,57747,57747,57747,115494
32585,0,22107.46,57747,57747,57747,115494
30905,0,23057.26,57747,57747,57747,115494
28665,0,22805.75,57747,57747,57747,115494
26637,0,22268.93,57747,57747,57747,115494
25007,0,21597.71,57747,57747,57747,115494
23917,0,21587.47,57747,57747,57747,115494
23307,0,22523.66,57747,57747,57747,115494
23059,0,23101.64,57747,57747,57747,115494
23469,0,23901.56,57747,57747,57747,115494
24354,1877.71,24216.81,57747,57747,57747,115494
25612,6613.64,24787.49,57747,57747,57747,115494
26603,8885.15,25212.4,57747,57747,57747,115494
27584,10006.47,25156.82,57747,57747,57747,115494
28288,10467.92,24446.39,57747,57747,57747,115494
28536,10508.68,24290.63,57747,57747,57747,115494
28179,10071.9,23669.99,57747,57747,57747,115494
27833,9099.1,24188.44,57747,57747,57747,115494
27562,6828.8,24059.79,57747,57747,57747,115494
27433,2472.94,22255.41,57747,57747,57747,115494
27760,14.19,20418.17,57747,57747,57747,115494
28752,0,18531.45,57747,57747,57747,115494
31277,0,15813.62,57747,57747,57747,115494
32063,0,14653.36,57747,57747,57747,115494
31651,0,14291.88,57747,57747,57747,115494
30814,0,13852.53,57747,57747,57747,115494
29677,0,13815.51,57747,57747,57747,115494
27886,0,12703.79,57747,57747,57747,115494
26046,0,12370.79,57747,57747,57747,115494
24526,0,12419.71,57747,57747,57747,115494
23593,0,13167.52,57747,57747,57747,115494
23089,0,13688.65,57747,57747,57747,115494
23006,0,13295.04,57747,57747,57747,115494
23588,0,12534.6,57747,57747,57747,115494
24521,1620.67,12014.9,57747,57747,57747,115494
25365,5958.27,11642.12,57747,57747,57747,115494
25804,8252.62,11812.53,57747,57747,57747,115494
26292,9751.24,13009.15,57747,57747,57747,115494
26420,10219.91,14023.8,57747,57747,57747,115494
26376,10272.13,14913.39,57747,57747,57747,115494
26462,9809.55,15704.25,57747,57747,57747,115494
26291,8947.04,15898.41,57747,57747,57747,115494
26236,6775.91,15253.96,57747,57747,57747,115494
26441,2454.44,14740.17,57747,57747,57747,115494
26678,14.85,15543.49,57747,57747,57747,115494
28277,0,15847.83,57747,57747,57747,115494
31352,0,15435.04,57747,57747,57747,115494
32508,0,15049.2,57747,57747,57747,115494
32260,0,14801.98,57747,57747,57747,115494
31365,0,14369.62,57747,57747,57747,115494
29586,0,14314.93,57747,57747,57747,115494
27500,0,14094.29,57747,57747,57747,115494
25726,0,13742.69,57747,57747,57747,115494
24484,0,12899.68,57747,57747,57747,115494
